candle_begin_time,open,high,low,close,volume
2021-01-01 00:00:00,736.42,739.0,730.03,731.14,10679.63623
2021-01-01 00:15:00,731.14,732.28,729.33,731.6,6954.72694
2021-01-01 00:30:00,731.55,734.29,731.45,733.54,4958.21322
2021-01-01 00:45:00,733.54,735.59,732.38,734.07,5340.12245
2021-01-01 01:00:00,734.08,743.47,733.37,743.41,14643.20784
2021-01-01 01:15:00,743.43,743.78,739.69,742.2,10035.33555
2021-01-01 01:30:00,742.19,748.5,740.81,747.26,16002.58114
2021-01-01 01:45:00,747.2,749.0,745.7,748.28,11655.06326
2021-01-01 02:00:00,748.27,749.0,743.57,744.41,9180.88473
2021-01-01 02:15:00,744.45,746.67,744.31,744.96,7214.4722
2021-01-01 02:30:00,744.96,745.63,742.27,744.3,11133.91229
2021-01-01 02:45:00,744.3,746.65,743.2,744.06,5490.23178
2021-01-01 03:00:00,744.06,745.8,743.1,744.19,5343.60251
2021-01-01 03:15:00,744.12,745.56,743.38,745.2,4055.25528
2021-01-01 03:30:00,745.31,747.23,744.31,745.85,4739.32244
2021-01-01 03:45:00,745.86,746.88,744.68,744.82,3466.62836
2021-01-01 04:00:00,744.87,746.42,743.79,744.35,3245.67022
2021-01-01 04:15:00,744.35,747.09,744.28,745.42,5687.65422
2021-01-01 04:30:00,745.42,746.14,739.3,741.57,6975.05911
2021-01-01 04:45:00,741.68,743.4,741.56,742.29,2885.77069
2021-01-01 05:00:00,742.34,743.23,739.62,742.6,5119.61287
2021-01-01 05:15:00,742.62,742.88,740.62,741.39,3139.54685
2021-01-01 05:30:00,741.39,741.87,739.5,741.06,3681.01297
2021-01-01 05:45:00,741.04,742.21,740.12,740.65,3008.09178
2021-01-01 06:00:00,740.72,743.25,740.72,742.03,4100.99819
2021-01-01 06:15:00,742.03,742.98,737.32,737.61,5796.02685
2021-01-01 06:30:00,737.62,739.86,737.04,739.48,3514.64362
2021-01-01 06:45:00,739.43,740.24,738.0,739.97,3695.32629
2021-01-01 07:00:00,739.87,740.51,734.4,734.79,8448.74643
2021-01-01 07:15:00,734.8,739.0,734.71,735.88,6369.80636
2021-01-01 07:30:00,735.88,737.86,734.86,736.89,3554.60616
2021-01-01 07:45:00,736.89,737.92,735.7,737.38,3251.5305
2021-01-01 08:00:00,737.37,738.48,732.5,733.36,9459.66963
2021-01-01 08:15:00,733.36,733.5,725.1,730.27,23620.42865
2021-01-01 08:30:00,730.27,733.55,726.39,727.19,10360.70295
2021-01-01 08:45:00,727.18,731.81,726.31,730.07,9551.24769
2021-01-01 09:00:00,730.07,733.27,728.77,732.0,7424.6436
2021-01-01 09:15:00,732.0,734.23,731.14,733.3,5757.35234
2021-01-01 09:30:00,733.31,734.61,732.61,733.16,5698.7042
2021-01-01 09:45:00,733.14,734.77,732.96,733.68,3955.76959
2021-01-01 10:00:00,733.69,737.26,733.27,736.7,7045.35734
2021-01-01 10:15:00,736.7,736.7,734.54,735.32,6070.17418
2021-01-01 10:30:00,735.33,737.89,735.11,737.39,5264.05619
2021-01-01 10:45:00,737.41,738.87,735.83,736.81,4516.0094
2021-01-01 11:00:00,736.82,738.82,736.11,738.5,6272.44488
2021-01-01 11:15:00,738.51,740.98,738.0,740.6,8979.72981
2021-01-01 11:30:00,740.67,741.76,738.47,738.83,7370.86361
2021-01-01 11:45:00,738.78,739.96,737.14,738.85,6761.06041
2021-01-01 12:00:00,738.85,740.0,734.62,736.28,9580.17886
2021-01-01 12:15:00,736.27,740.95,734.7,740.37,8563.83128
2021-01-01 12:30:00,740.41,743.33,738.7,740.91,16098.27279
2021-01-01 12:45:00,740.9,741.34,732.12,733.19,15948.18935
2021-01-01 13:00:00,733.19,736.38,733.0,736.36,6774.87974
2021-01-01 13:15:00,736.25,738.0,735.72,737.99,4750.65451
2021-01-01 13:30:00,738.0,739.59,736.43,738.14,5005.64126
2021-01-01 13:45:00,738.14,741.99,738.04,740.08,7012.38811
2021-01-01 14:00:00,740.08,742.67,737.17,739.78,7863.50788
